geoid,name,B08006001,"B08006001, Error",B08006002,"B08006002, Error",B08006003,"B08006003, Error",B08006004,"B08006004, Error",B08006005,"B08006005, Error",B08006006,"B08006006, Error",B08006007,"B08006007, Error",B08006008,"B08006008, Error",B08006009,"B08006009, Error",B08006010,"B08006010, Error",B08006011,"B08006011, Error",B08006012,"B08006012, Error",B08006013,"B08006013, Error",B08006014,"B08006014, Error",B08006015,"B08006015, Error",B08006016,"B08006016, Error",B08006017,"B08006017, Error",B08006018,"B08006018, Error",B08006019,"B08006019, Error",B08006020,"B08006020, Error",B08006021,"B08006021, Error",B08006022,"B08006022, Error",B08006023,"B08006023, Error",B08006024,"B08006024, Error",B08006025,"B08006025, Error",B08006026,"B08006026, Error",B08006027,"B08006027, Error",B08006028,"B08006028, Error",B08006029,"B08006029, Error",B08006030,"B08006030, Error",B08006031,"B08006031, Error",B08006032,"B08006032, Error",B08006033,"B08006033, Error",B08006034,"B08006034, Error",B08006035,"B08006035, Error",B08006036,"B08006036, Error",B08006037,"B08006037, Error",B08006038,"B08006038, Error",B08006039,"B08006039, Error",B08006040,"B08006040, Error",B08006041,"B08006041, Error",B08006042,"B08006042, Error",B08006043,"B08006043, Error",B08006044,"B08006044, Error",B08006045,"B08006045, Error",B08006046,"B08006046, Error",B08006047,"B08006047, Error",B08006048,"B08006048, Error",B08006049,"B08006049, Error",B08006050,"B08006050, Error",B08006051,"B08006051, Error"
86000US75039,"75039",14613,857,10395,801,9988,797,407,165,331,162,45,44,31,31,133,93,48,54,0,28,10,17,49,57,26,41,11,18,392,185,356,171,3326,695,8591,569,6094,568,5841,574,253,121,235,116,13,26,5,9,111,84,40,52,0,28,10,17,49,57,12,20,11,18,300,175,193,115,1882,443,6022,613,4301,503,4147,485,154,86,96,75,32,36,26,30,22,26,8,16,0,28,0,28,0,28,14,21,0,28,92,76,163,140,1444,372
86000US75040,"75040",31231,1539,27682,1431,24136,1223,3546,617,2394,479,650,213,502,183,528,172,173,89,114,97,51,54,173,97,17,22,24,38,190,76,181,84,2626,460,16773,962,15217,926,13082,815,2135,447,1389,396,434,178,312,123,158,89,44,41,44,47,4,8,49,40,17,22,0,35,65,40,65,54,1268,300,14458,943,12465,849,11054,788,1411,290,1005,235,216,103,190,125,370,142,129,79,70,66,47,53,124,86,0,35,24,38,125,80,116,63,1358,278
86000US75041,"75041",15067,1255,13554,1170,11888,1065,1666,500,1132,352,407,351,127,81,205,155,187,153,0,31,18,31,0,31,0,31,19,34,98,61,194,107,997,303,8801,903,7971,859,6861,808,1110,315,786,259,244,164,80,66,95,74,77,68,0,31,18,31,0,31,0,31,19,34,47,51,174,107,495,204,6266,597,5583,582,5027,515,556,272,346,151,163,216,47,42,110,105,110,105,0,31,0,31,0,31,0,31,0,31,51,38,20,22,502,207
86000US75042,"75042",17956,1286,16037,1268,14188,1280,1849,438,1331,360,321,164,197,116,344,159,261,148,41,52,38,39,4,8,0,31,86,73,195,116,366,261,928,296,10042,883,9060,873,8046,904,1014,316,735,260,129,66,150,112,175,106,143,102,15,26,17,31,0,31,0,31,18,30,115,95,283,250,391,130,7914,757,6977,672,6142,630,835,218,596,172,192,130,47,40,169,101,118,88,26,30,21,25,4,8,0,31,68,67,80,57,83,66,537,241
86000US75043,"75043",31415,2178,27201,2116,23345,1918,3856,842,3037,739,669,385,150,88,911,422,708,293,15,24,37,38,151,207,0,35,0,35,154,107,487,237,2662,380,17152,1254,15216,1238,13186,1047,2030,703,1795,697,220,143,15,20,541,328,447,261,0,35,24,32,70,105,0,35,0,35,54,78,198,135,1143,270,14263,1274,11985,1251,10159,1208,1826,414,1242,303,449,291,135,82,370,178,261,159,15,24,13,23,81,104,0,35,0,35,100,75,289,172,1519,277
86000US75044,"75044",24294,1424,19434,1330,16907,1300,2527,635,1774,434,470,371,283,329,183,110,39,36,63,71,51,55,30,50,0,31,0,31,168,134,389,197,4120,931,12628,921,10194,924,8919,870,1275,401,790,226,235,194,250,316,69,58,19,22,6,14,14,20,30,50,0,31,0,31,111,109,105,82,2149,630,11666,971,9240,919,7988,878,1252,410,984,344,235,245,33,51,114,98,20,33,57,70,37,58,0,31,0,31,0,31,57,77,284,177,1971,485
86000US75048,"75048",15435,1035,11441,1009,10361,1002,1080,476,688,279,24,33,368,405,126,99,0,28,48,69,45,58,33,44,0,28,26,35,128,107,458,262,3256,716,8182,810,5745,797,5214,759,531,351,239,143,24,33,268,325,105,90,0,28,48,69,24,43,33,44,0,28,26,35,17,27,275,149,2014,501,7253,596,5696,563,5147,570,549,198,449,188,0,28,100,98,21,33,0,28,0,28,21,33,0,28,0,28,0,28,111,100,183,183,1242,338
86000US75050,"75050",22871,1379,20799,1488,18538,1320,2261,578,1372,378,351,176,538,363,69,89,4,11,0,31,13,23,0,31,52,84,0,31,186,181,258,119,1559,572,13002,956,11817,982,10341,874,1476,445,866,287,250,141,360,285,68,89,3,10,0,31,13,23,0,31,52,84,0,31,179,179,135,93,803,424,9869,850,8982,887,8197,816,785,272,506,174,101,101,178,136,1,3,1,3,0,31,0,31,0,31,0,31,0,31,7,12,123,70,756,252
86000US75051,"75051",17418,1169,15611,1153,12700,921,2911,609,2241,535,367,235,303,126,23,32,9,14,14,28,0,31,0,31,0,31,20,33,121,83,294,168,1349,373,9832,817,9062,837,7208,701,1854,416,1429,357,253,212,172,73,7,14,0,31,7,14,0,31,0,31,0,31,20,33,80,85,215,153,448,170,7586,787,6549,773,5492,657,1057,339,812,302,114,110,131,84,16,20,9,14,7,14,0,31,0,31,0,31,0,31,41,38,79,69,901,279
86000US75052,"75052",48017,1778,42004,1720,36625,1717,5379,982,3735,828,919,316,725,347,71,58,28,29,14,22,29,44,0,35,0,35,0,35,478,199,737,257,4727,777,25303,1190,22692,1187,19958,1141,2734,597,1773,503,614,249,347,187,0,35,0,35,0,35,0,35,0,35,0,35,0,35,218,137,422,181,1971,416,22714,1148,19312,1116,16667,1087,2645,601,1962,515,305,148,378,213,71,58,28,29,14,22,29,44,0,35,0,35,0,35,260,128,315,145,2756,505
