B08301_001E,B08301_001EA,B08301_001M,B08301_001MA,B08301_002E,B08301_002EA,B08301_002M,B08301_002MA,B08301_003E,B08301_003EA,B08301_003M,B08301_003MA,B08301_004E,B08301_004EA,B08301_004M,B08301_004MA,B08301_005E,B08301_005EA,B08301_005M,B08301_005MA,B08301_006E,B08301_006EA,B08301_006M,B08301_006MA,B08301_007E,B08301_007EA,B08301_007M,B08301_007MA,B08301_008E,B08301_008EA,B08301_008M,B08301_008MA,B08301_009E,B08301_009EA,B08301_009M,B08301_009MA,B08301_010E,B08301_010EA,B08301_010M,B08301_010MA,B08301_011E,B08301_011EA,B08301_011M,B08301_011MA,B08301_012E,B08301_012EA,B08301_012M,B08301_012MA,B08301_013E,B08301_013EA,B08301_013M,B08301_013MA,B08301_014E,B08301_014EA,B08301_014M,B08301_014MA,B08301_015E,B08301_015EA,B08301_015M,B08301_015MA,B08301_016E,B08301_016EA,B08301_016M,B08301_016MA,B08301_017E,B08301_017EA,B08301_017M,B08301_017MA,B08301_018E,B08301_018EA,B08301_018M,B08301_018MA,B08301_019E,B08301_019EA,B08301_019M,B08301_019MA,B08301_020E,B08301_020EA,B08301_020M,B08301_020MA,B08301_021E,B08301_021EA,B08301_021M,B08301_021MA,GEO_ID,NAME,state,place
1017,,177,,956,,176,,873,,175,,83,,48,,57,,41,,4,,6,,22,,29,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,5,,8,,56,,42,,1600000US4854780,"Palmhurst city, Texas",48,54780
1534,,209,,1470,,216,,1351,,222,,119,,79,,106,,79,,13,,21,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,14,,0,,14,,55,,54,,1600000US4870868,"Sullivan City city, Texas",48,70868
38,,52,,25,,32,,25,,32,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,25,,1600000US4875626,"Villa Verde CDP, Texas",48,75626
996,,276,,947,,271,,689,,203,,258,,142,,238,,141,,12,,22,,5,,8,,3,,5,,0,,14,,8,,11,,8,,11,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,11,,18,,0,,14,,6,,9,,4,,7,,20,,17,,1600000US4807864,"Bertram city, Texas",48,07864
1415,,370,,1263,,363,,1081,,289,,182,,106,,127,,88,,55,,78,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,13,,20,,9,,16,,130,,65,,1600000US4834862,"Horseshoe Bay city, Texas",48,34862
112,,56,,103,,56,,91,,52,,12,,12,,4,,6,,4,,9,,4,,7,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,9,,10,,1600000US4807144,"Bedias city, Texas",48,07144
1171,,109,,1043,,95,,965,,91,,78,,48,,44,,45,,26,,30,,0,,14,,8,,13,,0,,14,,4,,8,,0,,14,,0,,14,,0,,14,,4,,8,,0,,14,,0,,14,,0,,14,,0,,14,,8,,12,,10,,12,,106,,51,,1600000US4871756,"Talty town, Texas",48,71756
149,,35,,142,,35,,126,,30,,16,,13,,11,,11,,2,,6,,3,,5,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,7,,7,,1600000US4874372,"Union Valley city, Texas",48,74372
613,,124,,567,,121,,498,,109,,69,,36,,41,,33,,4,,4,,7,,7,,7,,11,,10,,12,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,10,,12,,4,,6,,32,,23,,1600000US4842868,"Lindsay city, Texas",48,42868
289,,89,,263,,84,,256,,83,,7,,9,,3,,5,,2,,4,,0,,14,,0,,14,,2,,4,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,0,,14,,10,,11,,2,,4,,14,,17,,1600000US4843636,"Lone Oak city, Texas",48,43636
